intervenant,parti,intervention,text_cleaned,emotions
Yaël Braun-Pivet,REN,"
Ne croyez-vous pas que nos compatriotes méritent mieux que ça ? ",ne croyezvous pas que nos compatriotes méritent mieux que ça ,"[{'label': 'joy', 'score': 0.783909261226654}]"
Fabien Di Filippo,LR,"
Votez-la, la motion, on n'en parlera plus ! ",votezla la motion on n'en parlera plus ,"[{'label': 'joy', 'score': 0.6251348257064819}]"
Yaël Braun-Pivet,REN,"
Allez-y, monsieur le ministre. ",allezy monsieur le ministre.,"[{'label': 'anger', 'score': 0.5135495662689209}]"
Yaël Braun-Pivet,REN,"
Mes chers collègues, nous ne sommes ici ni dans un amphithéâtre, ni dans une manifestation, mais dans l'hémicycle de l'Assemblée nationale ! ",mes chers collègues nous ne sommes ici ni dans un amphithéâtre ni dans une manifestation mais dans l'hémicycle de l'assemblée nationale ,"[{'label': 'anger', 'score': 0.45444226264953613}]"
Laurent Croizier,MODEM,"
Vous n'êtes pas sur les bancs de la maternelle, quand même ! ",vous n'êtes pas sur les bancs de la maternelle quand même ,"[{'label': 'joy', 'score': 0.7390550374984741}]"
Yaël Braun-Pivet,REN,"
Monsieur le ministre, vous avez la parole. ",monsieur le ministre vous avez la parole.,"[{'label': 'joy', 'score': 0.4520271122455597}]"
Marc Le Fur,LR,"
Et l'eau de la Saur, elle est bonne ? ",et l'eau de la saur elle est bonne ,"[{'label': 'joy', 'score': 0.6007513403892517}]"
Pierre Dharréville,GDR,"
Ce projet de loi est une honte ! ",ce projet de loi est une honte ,"[{'label': 'anger', 'score': 0.5344792008399963}]"
Matthias Tavel,LFI,"
C'est faux ! ",c'est faux ,"[{'label': 'anger', 'score': 0.6853522658348083}]"
Fabien Roussel,GDR,"
Nous, nous croyons à la légitimité du peuple ! ",nous nous croyons à la légitimité du peuple ,"[{'label': 'anger', 'score': 0.8397261500358582}]"
Ugo Bernalicis,LFI,"
Nous aussi, nous assumons notre opposition ! ",nous aussi nous assumons notre opposition ,"[{'label': 'anger', 'score': 0.974612295627594}]"
Louis Boyard,LFI,"
Corrompu ! ",corrompu ,"[{'label': 'anger', 'score': 0.45430251955986023}]"
Ugo Bernalicis,LFI,"
Vous croyez vraiment à ce que vous dites ? ",vous croyez vraiment à ce que vous dites ,"[{'label': 'joy', 'score': 0.5226385593414307}]"
Jérôme Guedj,SOC,"
Hirsute ? ",hirsute ,"[{'label': 'anger', 'score': 0.9686350226402283}]"
François Ruffin,LFI,"
Vous faites du favoritisme pour les riches ! ",vous faites du favoritisme pour les riches ,"[{'label': 'joy', 'score': 0.9552118182182312}]"
Fabien Roussel,GDR,"
Celle des premiers de cordée ? ",celle des premiers de cordée ,"[{'label': 'joy', 'score': 0.4832167625427246}]"
Sabrina Sebaihi,ECO,"
Elle est injuste ! ",elle est injuste ,"[{'label': 'joy', 'score': 0.5771440863609314}]"
Sophie Taillé-Polian,ECO,"
Retirez-la ! ",retirezla ,"[{'label': 'anger', 'score': 0.5184487104415894}]"
Loïc Prud'homme,LFI,"
Vous êtes un corrompu ! ",vous êtes un corrompu ,"[{'label': 'joy', 'score': 0.5508361458778381}]"
Éric Bothorel,REN,"
Il a raison ! ",il a raison ,"[{'label': 'joy', 'score': 0.8686319589614868}]"
Sébastien Jumel,GDR,"
C'est le cas ! ",c'est le cas ,"[{'label': 'joy', 'score': 0.49690374732017517}]"
Matthias Tavel,LFI,"
Vos réformes, ce sont des cadeaux aux riches ! ",vos réformes ce sont des cadeaux aux riches ,"[{'label': 'joy', 'score': 0.6840111017227173}]"
Sylvain Maillard,REN,"
Bravo ! ",bravo ,"[{'label': 'joy', 'score': 0.5740076899528503}]"
Farida Amrani,LFI,"
Cette réforme est injuste ! ",cette réforme est injuste ,"[{'label': 'anger', 'score': 0.6839962601661682}]"
Clémence Guetté,LFI,"
Vous êtes un menteur, un tricheur et un lâche ! ",vous êtes un menteur un tricheur et un lâche ,"[{'label': 'anger', 'score': 0.49430331587791443}]"
Clémence Guetté,LFI,"
Il y a une autre solution ! ",il y a une autre solution ,"[{'label': 'joy', 'score': 0.48903027176856995}]"
Mathilde Panot,LFI,"
Arrêtez avec vos sornettes ! ",arrêtez avec vos sornettes ,"[{'label': 'joy', 'score': 0.4261930584907532}]"
Sandra Regol,ECO,"
C'est vous qui l'interprétez ! ",c'est vous qui l'interprétez ,"[{'label': 'joy', 'score': 0.9141855835914612}]"
Jean-Paul Mattei,MODEM,"
Absolument ! Très bien ! ",absolument  très bien ,"[{'label': 'joy', 'score': 0.9919394850730896}]"
Sophie Taillé-Polian,ECO,"
Le sens commun, ce sont les 70 % des Français qui s'opposent à votre réforme ! ",le sens commun ce sont les   des français qui s'opposent à votre réforme ,"[{'label': 'anger', 'score': 0.9666956663131714}]"
Hadrien Clouet,LFI,"
Traître ! Vendu ! ",traître  vendu ,"[{'label': 'anger', 'score': 0.4445262551307678}]"
Louis Boyard,LFI,"
Elles vous détestent, les générations montantes ! ",elles vous détestent les générations montantes ,"[{'label': 'joy', 'score': 0.696682870388031}]"
Matthias Tavel,LFI,"
Améliorer les dividendes, oui ! ",améliorer les dividendes oui ,"[{'label': 'anger', 'score': 0.5566763281822205}]"
Stéphane Peu,GDR,"
Retirer le texte ! C'est la seule option qui vaille. ",retirer le texte  c'est la seule option qui vaille.,"[{'label': 'joy', 'score': 0.48487168550491333}]"
Rodrigo Arenas,LFI,"
C'était votre projet il n'y a pas longtemps ! ",c'était votre projet il n'y a pas longtemps ,"[{'label': 'joy', 'score': 0.7336955666542053}]"
Maud Bregeon,REN,"
Il a raison ! ",il a raison ,"[{'label': 'joy', 'score': 0.8686319589614868}]"
Stéphane Peu,GDR,"
C'est faux ! ",c'est faux ,"[{'label': 'anger', 'score': 0.6853522658348083}]"
Pierre Dharréville,GDR,"
Vous parlez de mépris après ce qui vient de se passer ? ",vous parlez de mépris après ce qui vient de se passer ,"[{'label': 'joy', 'score': 0.7451707124710083}]"
Sandra Regol,ECO,"
La brutalité, c'est vous ! ",la brutalité c'est vous ,"[{'label': 'anger', 'score': 0.9896917939186096}]"
Pierre Cordier,app. LR,"
Vous disiez le contraire il y a six ans ! ",vous disiez le contraire il y a six ans ,"[{'label': 'joy', 'score': 0.56539386510849}]"
Raquel Garrido,LFI,"
Nous ne vous laisserons pas faire ! ",nous ne vous laisserons pas faire ,"[{'label': 'joy', 'score': 0.6819683909416199}]"
Mathilde Panot,LFI,"
Nous ne vous laisserons pas faire ! ",nous ne vous laisserons pas faire ,"[{'label': 'joy', 'score': 0.6819683909416199}]"
Matthias Tavel,LFI,"
Vous faites pire que Sarkozy ! ",vous faites pire que sarkozy ,"[{'label': 'joy', 'score': 0.5486141443252563}]"
Christine Arrighi,ECO,"
Le bénévolat aussi crée des richesses ! ",le bénévolat aussi crée des richesses ,"[{'label': 'joy', 'score': 0.9519855380058289}]"
Ségolène Amiot,LFI,"
Les retraités ne sont pas des fainéants ! ",les retraités ne sont pas des fainéants ,"[{'label': 'anger', 'score': 0.6285377144813538}]"
Sophie Taillé-Polian,ECO,"
Vous avez fait semblant de les consulter ! ",vous avez fait semblant de les consulter ,"[{'label': 'joy', 'score': 0.5503098368644714}]"
Davy Rimane,GDR,"
Elle est belle, la concertation ! ",elle est belle la concertation ,"[{'label': 'joy', 'score': 0.8010966777801514}]"
Davy Rimane,GDR,"
C'est faux ! ",c'est faux ,"[{'label': 'anger', 'score': 0.6853522658348083}]"
Inaki Echaniz,SOC,"
Inutile ! ",inutile ,"[{'label': 'anger', 'score': 0.5166109204292297}]"
Perceval Gaillard,LFI,"
C'est faux ! ",c'est faux ,"[{'label': 'anger', 'score': 0.6853522658348083}]"
Perceval Gaillard,LFI,"
Vos députés eux-mêmes n'y croient pas ! ",vos députés euxmêmes n'y croient pas ,"[{'label': 'anger', 'score': 0.542888343334198}]"
Jean-François Coulomme,LFI,"
Ils seront déjà morts ! ",ils seront déjà morts ,"[{'label': 'anger', 'score': 0.5546897053718567}]"
Inaki Echaniz,SOC,"
Injuste ! ",injuste ,"[{'label': 'anger', 'score': 0.4900151789188385}]"
Sophie Taillé-Polian,ECO,"
Vous les avez retirés ! ",vous les avez retirés ,"[{'label': 'sadness', 'score': 0.5606113076210022}]"
Davy Rimane,GDR,"
Vous n'y croyez pas vous-même ! ",vous n'y croyez pas vousmême ,"[{'label': 'anger', 'score': 0.5199757814407349}]"
Matthias Tavel,LFI,"
Vous allez leur voler deux ans ! ",vous allez leur voler deux ans ,"[{'label': 'joy', 'score': 0.636213481426239}]"
Davy Rimane,GDR,"
Niveler par le bas, c'est cela le progrès ? ",niveler par le bas c'est cela le progrès ,"[{'label': 'anger', 'score': 0.5386233329772949}]"
Sylvain Maillard,REN,"
Très bien ! ",très bien ,"[{'label': 'anger', 'score': 0.473198264837265}]"
Louis Boyard,LFI,"
Vous n'êtes pas équitable avec tous les favoritismes ! ",vous n'êtes pas équitable avec tous les favoritismes ,"[{'label': 'joy', 'score': 0.9746127724647522}]"
Rodrigo Arenas,LFI,"
Classe contre classe ! ",classe contre classe ,"[{'label': 'anger', 'score': 0.5043374300003052}]"
Sandra Regol,ECO,"
Une société de l'injustice ! ",une société de l'injustice ,"[{'label': 'anger', 'score': 0.953315019607544}]"
Matthias Tavel,LFI,"
Une société de la précarité et de la pauvreté ! ",une société de la précarité et de la pauvreté ,"[{'label': 'anger', 'score': 0.6132587790489197}]"
Hadrien Clouet,LFI,"
Arriviste ! Vendu ! ",arriviste  vendu ,"[{'label': 'anger', 'score': 0.5998808741569519}]"
Benjamin Lucas,ECO,"
Et Olivier Dussopt, il dit quoi ? ",et olivier dussopt il dit quoi ,"[{'label': 'anger', 'score': 0.4846903681755066}]"
Sophie Taillé-Polian,ECO,"
Vous êtes tout seul ! ",vous êtes tout seul ,"[{'label': 'joy', 'score': 0.5244439840316772}]"
Thomas Portes,LFI,"
C'est le retrait de votre texte qui est attendu ! ",c'est le retrait de votre texte qui est attendu ,"[{'label': 'anger', 'score': 0.5264409780502319}]"
Pierre Cordier,app. LR,"
C'est la base de la démocratie ! ",c'est la base de la démocratie ,"[{'label': 'anger', 'score': 0.7631848454475403}]"
Hadrien Clouet,LFI,"
Plus tard, vous ne serez plus là ! ",plus tard vous ne serez plus là ,"[{'label': 'joy', 'score': 0.8628332614898682}]"
Matthias Tavel,LFI,"
Profitez, ça ne va pas durer ! ",profitez ça ne va pas durer ,"[{'label': 'joy', 'score': 0.48119091987609863}]"
Loïc Prud'homme,LFI,"
Vous êtes en boucle ! ",vous êtes en boucle ,"[{'label': 'joy', 'score': 0.46681371331214905}]"
Antoine Léaument,LFI,"
Ça suffit, l'obstruction ! ",ça suffit l'obstruction ,"[{'label': 'anger', 'score': 0.9655885100364685}]"
Yaël Braun-Pivet,REN,"
La parole est à M. le ministre délégué chargé des comptes publics. ",la parole est à m. le ministre délégué chargé des comptes publics.,"[{'label': 'anger', 'score': 0.5027304887771606}]"
Raquel Garrido,LFI,"
Ce n'est pas un projet de loi de financement rectificative de la sécurité sociale ! ",ce n'est pas un projet de loi de financement rectificative de la sécurité sociale ,"[{'label': 'joy', 'score': 0.678679347038269}]"
Fabien Di Filippo,LR,"
Et votre politique du chéquier, elle est d'intérêt général ? ",et votre politique du chéquier elle est d'intérêt général ,"[{'label': 'anger', 'score': 0.720320463180542}]"
Sophie Taillé-Polian,ECO,"
Faites plutôt marche arrière ! ",faites plutôt marche arrière ,"[{'label': 'anger', 'score': 0.9319162964820862}]"
Pierre Dharréville,GDR,"
Entre progrès et régression sociale ! ",entre progrès et régression sociale ,"[{'label': 'anger', 'score': 0.3998528718948364}]"
Nicolas Sansu,GDR,"
C'est faux ! ",c'est faux ,"[{'label': 'anger', 'score': 0.6853522658348083}]"
Julie Laernoes,ECO,"
Augmentez donc les salaires des femmes ! ",augmentez donc les salaires des femmes ,"[{'label': 'anger', 'score': 0.7003682851791382}]"
Julie Laernoes,ECO,"
Et la productivité ? ",et la productivité ,"[{'label': 'joy', 'score': 0.6883052587509155}]"
Emmanuel Fernandes,LFI,"
Partagez les richesses ! ",partagez les richesses ,"[{'label': 'joy', 'score': 0.9477416276931763}]"
Emeric Salmon,RN,"
C'est faux ! ",c'est faux ,"[{'label': 'anger', 'score': 0.6853522658348083}]"
Sophie Taillé-Polian,ECO,"
Vous versez chaque année 154 milliards aux entreprises ! ",vous versez chaque année  milliards aux entreprises ,"[{'label': 'joy', 'score': 0.6265914440155029}]"
Sophie Taillé-Polian,ECO,"
Quelle argumentation subtile ! Vous faites dans la dentelle ! ",quelle argumentation subtile  vous faites dans la dentelle ,"[{'label': 'anger', 'score': 0.8998180031776428}]"
