intervenant,parti,intervention
Stéphanie Rist,REN,"
Un fonds de prévention de 1 milliard d'euros sera créé afin de financer les aménagements de postes de travail ou les formations de reconversion. L'usure professionnelle étant avant tout un enjeu de santé, les personnels concernés bénéficieront en outre d'un suivi médical renforcé dès la visite de mi-carrière ; en effet, prévenir les situations d'usure professionnelle doit être notre principale priorité. Par ailleurs, il est également de notre devoir de mieux réparer les conséquences des métiers pénibles. Pour cela, nous renforçons les dispositifs permettant de partir à la retraite de manière anticipée.Le projet de réforme respecte un autre grand principe du système de sécurité sociale : l'attention portée aux plus modestes et la nécessaire solidarité redistributive. Cette amélioration passe par la revalorisation des minima de pension versés aux retraités ayant cotisé toute leur carrière sur la base de revenus modestes : près de 2 millions de retraités sont concernés. L'indexation du minimum contributif majoré sur l'évolution du Smic plutôt que sur l'inflation permettra en outre de garantir le maintien de ce progrès pour les futures générations.Enfin, le projet que nous vous proposons vise à tenir compte d'un état de fait : le taux d'emploi des seniors, en dépit de sa constante amélioration au cours des dernières années, reste à un niveau très inférieur à celui de nos partenaires européens. Un véritable changement culturel est nécessaire et nous devons objectiver la situation au sein de chaque branche et de chaque entreprise. À ce titre, l'index seniors constitue une première pierre ; il doit rester flexible et adaptable aux réalités de chaque secteur. Je proposerai par ailleurs d'harmoniser le régime social et fiscal appliqué aux indemnités de rupture conventionnelle et à celles de mise en retraite.On nous a accusés, au cours des débats en commission, d'être extrémistes. "
Matthias Tavel,LFI,"
En effet ! "
Stéphanie Rist,REN,"
Si l'idée était de nous reprocher de défendre sans modération notre système de retraite par répartition face aux défis que j'ai exposés … "
Sébastien Jumel,GDR,"
Non, ce n'était pas cela ! "
Stéphanie Rist,REN,"
…alors, oui, je vous confirme que nous porterons toujours une très grande attention à la pérennité de notre système de retraite et au pacte qui unit les générations. "
Stéphanie Rist,REN,"
Pour conclure, je citerai Guillaume d'Orange, dit le Taciturne : « Point n'est besoin d'espérer pour entreprendre, ni de réussir pour persévérer. » "
Yaël Braun-Pivet,REN,"
La parole est à Mme Marina Ferrari, rapporteure pour avis de la commission des finances, de l'économie générale et du contrôle budgétaire. "
Marina Ferrari,MODEM,"
Comme le veut la tradition, la commission des finances s'est saisie pour avis du projet de loi de financement rectificative de la sécurité sociale (PLFRSS) pour 2023 et a émis un avis favorable à son adoption le vendredi 30 janvier, au terme d'une journée qui aura permis de distinguer, d'un côté, celles et ceux d'entre nous qui, comme le Gouvernement, sont attachés à la protection et à la hausse du niveau de vie des retraités, à une répartition juste de l'effort des actifs et surtout à la préservation du système de retraite par répartition et, de l'autre, celles et ceux qui sont prêts à mettre en danger le service des pensions, voire à réduire leur montant, qui considèrent le travail comme une aliénation dont on ne guérirait qu'en interdisant aux entreprises de réussir et qui préfèrent financer les retraites au moyen de la dette, faisant peser l'effort sur les générations futures. "
Philippe Vigier,MODEM,"
Bravo ! "
Marina Ferrari,MODEM,"
Si l'on se réfère aux différents scénarios présentés dans le rapport du COR, nous ferons face au cours des prochaines années à un déficit de financement. Selon l'hypothèse centrale retenue par le Gouvernement, le déficit atteindrait 0,5 % du PIB en 2040, puis 0,8 % en 2070. Le déficit cumulé pourrait atteindre, au cours des dix prochaines années, 150 milliards d'euros. Or, pour tenir ses promesses vis-à-vis des retraités d'aujourd'hui et de demain, le système de retraite doit être équilibré : le refuser, ce serait hypothéquer l'avenir !Je tiens ici à écarter certaines propositions irréalistes ou démagogiques. Non, il n'est pas possible de fonder le rétablissement des comptes de l'assurance vieillesse sur des recettes qui seraient fluctuantes, comme le sont les bénéfices ou les dividendes. "
Marina Ferrari,MODEM,"
En revanche, c'est en réduisant le coût du travail que nous soutenons l'emploi, que nous renforçons la compétitivité et que nous augmentons les recettes. Preuve en est faite depuis 2017. Non, il n'est pas possible d'abaisser de nouveau l'âge de départ à la retraite à 60 ans. La démographie, très défavorable, interdit tout retour en arrière. "
Danielle Simonnet,LFI,"
C'est faux ! "
Marina Ferrari,MODEM,"
Alors que nous comptions dans les années 1990 trois actifs pour un retraité, nous en sommes actuellement à 1,7 et parviendrons, prochainement, à 1,5 actif pour un retraité. Nier l'évidence revient à mentir aux Français. "
Danielle Simonnet,LFI,"
C'est vous qui mentez aux Français ! "
Marina Ferrari,MODEM,"
J'ajouterai quelques mots dans le cadre du périmètre de la loi de financement rectificative de la sécurité sociale stricto sensu. Le solde pour l'année 2023 serait en léger recul et devrait s'établir à – 7,5 milliards d'euros, en raison de la mise en œuvre des mesures de revalorisation et d'amélioration. Le déficit serait ramené dès 2026 à 12,3 milliards, contre 15,7 si nous ne faisons rien, et la trajectoire envisagée devrait conduire à l'équilibre du système de retraite, mesures sociales incluses, d'ici à 2030.Nous commençons donc l'examen d'un texte dont l'ambition est l'équité et la solidarité entre les générations. Ainsi, il est proposé d'affilier les futurs personnels de cinq régimes spéciaux au régime général. J'ai entendu dire que cela ne concernait que 2 % des actifs, c'est exact ; mais rappelons que les déficits de ces régimes concernent en revanche 100 % des Français, qui doivent les financer. Pour que notre système demeure parmi les plus redistributifs, il est indispensable de reculer progressivement de deux ans l'âge d'ouverture des droits et d'accélérer l'allongement de la durée de cotisation engagé par la réforme Touraine.Ce projet tient compte des inégalités de la vie et vise, sans pouvoir toutes les réparer, à les atténuer. C'est pour cette raison que le minimum contributif (Mico) est revalorisé, que le plancher de récupération sur succession de l'allocation de solidarité aux personnes âgées (Aspa) est relevé ou encore qu'un départ anticipé pour les travailleurs inaptes est instauré. Parmi les nouveaux droits ouverts, notons que le cumul entre l'emploi et la retraite entraînera désormais des droits et une hausse des pensions. Nous créons également une assurance vieillesse pour les aidants (AVA). Les trimestres validés au titre de l'assurance vieillesse du parent au foyer (AVPF) seront désormais comptabilisés pour le bénéfice du minimum contributif et de la retraite anticipée pour carrière longue.Je souhaite donc bon courage à celles et ceux qui voteront la motion de rejet préalable et iront sur le terrain expliquer qu'ils refusent d'emblée les avancées proposées. "
Nicolas Sansu,GDR,"
Il n'y a pas de problème ! "
Anna Pic,SOC,"
Nous assumons ! "
Marina Ferrari,MODEM,"
Enfin, en tant que femme, je voudrais démentir le fait que cette réforme leur soit défavorable : l'intégration des trimestres validés au titre de l'assurance vieillesse du parent au foyer dans la durée cotisée pour bénéficier d'un départ anticipé pour carrière longue les concernera en priorité ; de même, l'inclusion de ces trimestres AVPF dans le calcul du Mico permettra à plus de femmes de bénéficier de la hausse des minima de pension. L'amélioration sera nettement plus marquée pour elles, comme l'a démontré l'étude d'impact. "
Pierre Cordier,app. LR,"
Personne n'y croit ! "
Marina Ferrari,MODEM,"
La prise en compte, pour le calcul de la retraite, des périodes travaillées en TUC concerne en majorité les femmes. Enfin, la création de l'assurance vieillesse pour les aidants s'appliquera davantage à ces dernières.Pour terminer, et parce que les mesures de ce texte engagent l'avenir, j'appelle de mes vœux l'inclusion d'une clause de revoyure, qui permettrait d'évaluer les impacts financiers et sociaux de la réforme à mi-parcours. Un amendement a été adopté en ce sens par la commission des finances et j'espère qu'il en sera de même en séance.Mes chers collègues, les deux marques de justice d'un système de retraite par répartition sont son équilibre financier et son traitement équitable des situations individuelles les plus difficiles. Le projet déposé par le Gouvernement satisfait ces deux ambitions… "
Nicolas Sansu,GDR,"
Dommage que les Français ne le comprennent pas ! "
Marina Ferrari,MODEM,"
…et je vous invite donc à le voter. "
Yaël Braun-Pivet,REN,"
La parole est à Mme Corinne Vignon, rapporteure pour avis de la commission de la défense nationale et des forces armées. "
Corinne Vignon,REN,"
La commission de la défense nationale et des forces armées a examiné, le mardi 31 janvier dernier, les dispositions de l'article 7 du PLFRSS, qui ont trait aux personnels militaires, et a, contre mon avis de rapporteure, émis un avis défavorable sur cet article. "
Corinne Vignon,REN,"
Une posture de certains groupes d'autant plus incompréhensible que ce texte préserve largement nos armées ! "
Pierre Cordier,app. LR,"
Il faudrait mobiliser vos troupes, madame ! "
Arnaud Le Gall,LFI,"
Les armées ne vivent pas en dehors de la nation ! "
Corinne Vignon,REN,"
Avant de revenir sur ce point, je voudrais rappeler les fondements du régime des pensions militaires. En effet, celui-ci obéit à un fonctionnement particulier, qui permet d'assurer la reconnaissance de la nation envers ceux qui se sacrifient pour elle. En ce sens, il est une contrepartie inhérente aux obligations de l'état militaire. Ce régime répond à des impératifs de gestion des ressources humaines en flux et non en stock, contrairement à ce qui prévaut dans la fonction publique.D'une part, les règles du régime des pensions militaires sont imposées par la nécessité de disposer d'une ressource humaine jeune, apte à faire campagne, et de permettre la reconversion professionnelle une fois la fonction militaire quittée. L'objectif est aussi d'inciter au départ, afin de fluidifier la gestion des pyramides de grades, en offrant une pension dès l'atteinte de bornes de durée de service. Enfin, le but est d'éviter tout vieillissement excessif des unités de combat. L'exigence de jeunesse de nos armées se traduit donc par des limites d'âge relativement basses ainsi que par le droit au bénéfice immédiat d'une pension, une fois accomplie une certaine durée de service. Celle-ci doit être supérieure à dix-sept ans pour les non-officiers, à vingt ans pour les officiers sous contrat et à vingt-sept ans pour les officiers de carrière. Quant au droit à pension à liquidation différée, il bénéficie aux militaires dont la durée de service est supérieure à deux ans pour les militaires engagés depuis 2014 ou à quinze ans pour les militaires engagés avant 2014 et inférieure aux bornes de la pension à liquidation immédiate.D'autre part, ce régime de pensions reconnaît la singularité de l'état militaire et les exigences du combat au travers de bonifications qui haussent les montants des pensions. Un point me paraît très positif : le mécanisme de dégressivité de la bonification du cinquième après 60 ans est supprimé par le projet de loi. Cette bonification correspond au cinquième du temps de service effectif accompli dans la limite de cinq annuités. Elle est applicable aux militaires, aux policiers, aux sapeurs-pompiers professionnels, aux ingénieurs du contrôle de la navigation aérienne et aux surveillants pénitentiaires. Elle est accordée aux militaires dans la limite de vingt trimestres, à condition d'avoir accompli au moins dix-sept ans de services militaires effectifs ou d'avoir été rayé des cadres pour invalidité. Avant le présent projet de loi, la bonification était écrêtée au-delà de 60 ans. Grâce à ce texte, en particulier grâce à la suppression de la dégressivité, nous soulagerons certains métiers en tension dans nos armées. L'objectif est de maintenir les militaires concernés en service plus longtemps, sans qu'ils soient poussés financièrement à partir : ce sont les commissaires des armées, les officiers des corps techniques et administratifs, les ingénieurs des corps de l'armement, des essences et de l'infrastructure, les officiers et certains sous-officiers du service de santé des armées.Par ailleurs, le projet de loi prévoit l'application aux militaires de l'accélération de la réforme Touraine, qui porte la durée de cotisation à quarante-trois annuités dès 2027, au rythme d'un trimestre supplémentaire par an. "
Bastien Lachaud,LFI,"
Et ça, ce n'est rien ? "
Corinne Vignon,REN,"
Enfin, le projet de loi reporte de 52 à 54 ans l'âge auquel un ancien militaire peut bénéficier d'une pension à liquidation différée pour les militaires quittant l'institution après quinze ans de services mais avant la durée de service ouvrant droit à pension à liquidation immédiate.Permettez-moi d'insister sur le fait que les spécificités du régime des pensions militaires de retraite sont préservées grâce à ce texte, puisque les limites d'âge et les bornes d'ouverture du droit à pension à liquidation immédiate sont maintenues telles que dans le droit existant. L'équilibre du système est maintenu et, avec lui, le modèle de ressources humaines de nos armées et le principe de reconnaissance de la nation, qui est au fondement de la condition militaire.Je regrette que les débats nécessaires en commission aient été écourtés par des stratégies politiciennes "
Corinne Vignon,REN,"
et j'espère que les discussions en séance publique donneront lieu à plus d'unité sur ces bancs, au bénéfice de nos armées. "
Yaël Braun-Pivet,REN,"
La parole est à Mme la présidente de la commission des affaires sociales. "
Fadila Khattabi,REN,"
Est-il encore nécessaire de rappeler que réformer notre système de retraite n'a jamais été une entreprise facile ? "
